X,Y
27.427674,50.8907
27.527775,50.861
27.627876,50.8247
27.727977,50.7917
27.828078,50.7653
27.928179,50.7554
28.02828,50.7554
28.128381,50.7554
28.228482,50.7554
28.328583,50.7455
28.428684,50.7356
28.528785,50.7224
28.628886,50.7092
28.728987,50.7026
28.829088,50.6993
28.929189,50.7224
29.02929,50.7323
29.129391,50.7422
29.229492,50.762
29.329593,50.7884
29.429694,50.8181
29.529795,50.8544
29.629896,50.894
29.729997,50.927
29.830098,50.9534
29.930199,50.9699
30.0303,50.9765
30.130401,50.9501
30.230502,50.9171
30.330603,50.8775
30.430704,50.8313
30.530805,50.7884
30.630906,50.7686
30.731007,50.7554
30.831108,50.7488
30.931209,50.8115
31.03131,50.8313
31.131411,50.861
31.231512,50.8907
31.331613,50.9204
31.431714,50.9402
31.531815,50.9468
31.631916,50.9468
31.732017,50.9468
31.832118,50.9501
31.932219,50.96
32.03232,50.9732
32.132421,50.9864
32.232522,50.993
32.332623,50.9864
32.432724,50.9732
32.532825,50.9501
32.632926,50.927
32.733027,50.9039
32.833128,50.8874
32.933229,50.8775
33.03333,50.8808
33.133431,50.894
33.233532,50.9171
33.333633,50.9402
33.433734,50.9666
33.533835,50.9765
33.633936,50.9765
33.734037,50.9666
33.834138,50.9501
33.934239,50.927
34.03434,50.8973
34.134441,50.8709
34.234542,50.8445
34.334643,50.828
34.434744,50.8214
34.534845,50.828
34.634946,50.8511
34.735047,50.8841
34.835148,50.9237
34.935249,50.9765
35.03535,51.0062
35.135451,51.026
35.235552,51.1052
35.335653,51.1745
35.435754,51.2471
35.535855,51.3098
35.635956,51.3692
35.736057,51.3395
35.836158,51.29
35.936259,51.2207
36.03636,51.1448
36.136461,51.0722
36.236562,51.0227
36.336663,50.9897
36.436764,50.9765
36.536865,50.9897
36.636966,51.0161
36.737067,51.0557
36.837168,51.1052
36.937269,51.1382
37.03737,51.1778
37.137471,51.2042
37.237572,51.3032
37.337673,51.3956
37.437774,51.4847
37.537875,51.5738
37.637976,51.6629
37.738077,51.5771
37.838178,51.4913
37.938279,51.4088
38.03838,51.3197
38.138481,51.2273
38.238582,51.2108
38.338683,51.1943
38.438784,51.1745
38.538885,51.158
38.638986,51.1646
38.739087,51.1877
38.839188,51.224
38.939289,51.2735
39.03939,51.3197
39.139491,51.356
39.239592,51.3824
39.339693,51.3956
39.439794,51.4121
39.539895,51.422
39.639996,51.4319
39.740097,51.4319
39.840198,51.4187
39.940299,51.3989
40.0404,51.3692
40.140501,51.3428
40.240602,51.3164
40.340703,51.3032
40.440804,51.2966
40.540905,51.2933
40.641006,51.2867
40.741107,51.2801
40.841208,51.2702
40.941309,51.2471
41.04141,51.2504
41.141511,51.2702
41.241612,51.2999
41.341713,51.3329
41.441814,51.3692
41.541915,51.3989
41.642016,51.4913
41.742117,51.5705
41.842218,51.6497
41.942319,51.7223
42.04242,51.7916
42.142521,51.7751
42.242622,51.7454
42.342723,51.6992
42.442824,51.6365
42.542925,51.5672
42.643026,51.5045
42.743127,51.455
42.843228,51.4187
42.943329,51.3692
43.04343,51.3692
43.143531,51.3923
43.243632,51.4352
43.343733,51.488
43.443834,51.5408
43.543935,51.5837
43.644036,51.6101
43.744137,51.6167
43.844238,51.6101
43.944339,51.6002
44.04444,51.587
44.144541,51.5705
44.244642,51.5639
44.344743,51.5573
44.444844,51.554
44.544945,51.5507
44.645046,51.5507
44.745147,51.554
44.845248,51.5606
44.945349,51.5474
45.04545,51.5738
45.145551,51.6101
45.245652,51.653
45.345753,51.6992
45.445854,51.7355
45.545955,51.7619
45.646056,51.7817
45.746157,51.7883
45.846258,51.7949
45.946359,51.7949
46.04646,51.7949
46.146561,51.785
46.246662,51.7751
46.346763,51.7553
46.446864,51.7322
46.546965,51.7124
46.647066,51.6926
46.747167,51.6827
46.847268,51.6761
46.947369,51.6596
47.04747,51.6464
47.147571,51.6266
47.247672,51.6035
47.347773,51.5837
47.447874,51.5672
47.547975,51.5639
47.648076,51.5672
47.748177,51.5771
47.848278,51.5903
47.948379,51.6068
48.04848,51.6233
48.148581,51.6464
48.248682,51.6827
48.348783,51.7256
48.448884,51.7685
48.548985,51.8081
48.649086,51.8345
48.749187,51.8411
48.849288,51.8312
48.949389,51.7652
49.04949,51.7289
49.149591,51.6893
49.249692,51.6563
49.349793,51.6332
49.449894,51.6266
49.549995,51.6365
49.650096,51.6629
49.750197,51.6926
